ID,hc_related,description
4975,1,RN
4976,1," Pediatric Cardiologist, Muslim, born to fight for my destiny, Zamalec ,Barcelona, Arsenal Snap:peso88888"
4977,0,"The difference between mediocrity and excellence is commitment! 
Dont ask questions when you really cant handle the answer, be wise in that way."
4978,0,COUNTRY
4979,0,Psicologia Clnica e da Sade
4980,0,animal lover 
4981,0,"On the edge of a 12,000 acre forest in a sustainably planned development off of I-45 near Spring TX, is a premier new luxury residential rental community."
4982,0,"Politico. Moderate. Cat dad. ADHD AF, Penn State, Mets, Giants, Pens. Board Member CNYVOC. All views are my own. We are..."
4983,0,Retired sales and marketing exec now devoted full time to blogging. Liberal vegetarian and proud of it. Passionate about Equality for all.
4984,1,GOZUACIK LAB is a biomedical research lab specialized in autophagy in health and disease.
4985,0,Boerboel mom | wife | lifting | shooting | motorcycles
4986,1,Socialist Ideas. Hum Rights.lahoraredaccion@gmail.com Moderador Prof Retir.Jorge Gomez-Aracena PhD MD 
4987,0,East now back to West...
4988,0,"she was unstoppable. not because she did not have failures or doubts, but because she continued on despite them. [unstoppable]"
4989,1,"Emergency Preparedness, disaster readiness, severe weather, food storage, 72-hour kits, survival skills, prepper supplies/products, product reviews, etc."
4990,1,"CHAMPS Oncology Client Services Manager, Proud Wife, Mom and Big Sister!"
4991,1,"ARNP,  Author of Leave No Nurse Behind Nurses working with disAbilities ,  Advocate , Autism Mom "
4992,0,CEO ky-Tian Concept Ltd.
4993,0,"There is a dark side everywhere ! However , I seek the light ! "
4994,0,"When you let someone see your inner-light, & they shut their eyes & turn their headsit doesnt make the light any less beautiful. Keep on shining, friends."
4995,1,"The only national conference that brings the church & public health community together for 3-days of real talk & resolution on mental, physical health & more."
4996,1,"Autism Ass-Kicker, MS Warrior, Mama and Wife."
4997,0,The road of excess leads to the palace of wisdom
4998,1,"I'm a Global Austere, Hostile, Remote Environment and Natural Disaster, Medical and Security Specialist. Formerly AKE Ltd and HM Forces."
4999,0,Pai apaixonado!! Enfermeiro de formao e paixo pelo que faz. Amante das coisas simples da vida.
5000,0,Ahmed Magdy bahloul
5001,0,Grazie ai medici dell'Ematologia dell'ist. dei tumori di Milano. Milanista. La vita  complicata piena di input e di output. Ogni tanto scrivo libri
5002,1,"1983er, Cardiologist, Always wants to be better"
5003,0,Lady Haya sugar marshall first of her name 
5004,1,"Doctor and Govt. Officer.Honest,Pious and Hard-Working Physician.Passionate Doctor.
Dr. Abu Hossain Mondal,MBBS,Bangladesh."
5005,0,"there is no excuse 4 failure; lean on, trust in, and be confident in the Lord with all your heart and mind and do not lean on your own insight or understanding"
5006,1,At the Hearing Center of Excellence we are committed to improving your hearing and changing your life.
5007,0,"Jeanette McCarter started in the Real Estate in 1997. She knows financing, foreclosure and bankruptcy. Her book titled My Credit Sucks! Please help Me!"
5008,0,I hate my favorite sports teams more than I hate yours.
5009,0,Saint Marys. 
5010,0,I am here.
5011,0,"selling bulk and can tomatopaste, Chili paste"
5012,1,"Registered Dietitian, MS in Nutrition and Dietetics | Fitness Enthusiast & Peanut Butter Addict"
5013,0,"to live with purporse.
to say the courageous thing. 
to celebrate the simple gifts.
to follow your dreams. 
this is a happy life3"
5014,0,You seek innovation in every aspect of your life. So don't stop when it comes to oral hygiene. Leave the manual brush behind and stick with technology.   Global
5015,1,"Psychologist, Yoga Teacher"
5016,1,Cleveland Girl. Pitt Grad. Oncology Nurse.
5017,0,"Facharzt fr Psychotherapeutische Medizin, Facharzt fr Psychiatrie. Psychoanalyse, Gruppen-, Paartherapie, Supervision, Coaching."
5018,0,medico
5019,1,Central Florida Health News is the bridge that connects the medical professional with the local resident in search of healthier living.
5020,1,Improving lives through healthcare IT
5021,0,"Viet Nam Era U.S. Air Force vet. 2000 Graduate of Wright State U.B.A. Professional Writing, 2013 Graduate of St. Xavier University Master of Special Education.."
5022,0,"I was born to support manchester united and ill be the fun of manchester united till i die
united for life"
5023,0,Aspiring Professional Experience
5024,0,Scientist
5025,0,i listen to too much music  
5026,0,HP HS M SU
5027,0,President of the ICFMS 2015
5028,1,"Medical Extrusion Technology Company, Off-the-Shelf Catheter Tubing, $799 Minimum Runs, Multi-lumen tubing overnight."
5029,0,"Proud Dad, Blogger, Youtuber, Digital Marketer. Founder of "
5030,0,Love Technology Innovation and a Home Business Entrepreneur-Love sharing financial  opportunities enabling financial freedom--God is head of my life.
5031,1,"Healthcare equity analyst at J.P. Morgan, red sox fan, cycling addict, restaurant lover"
5032,0,wife; 
5033,0,president Obama biggest supporter. I love him (too much) and I'm still with HER.
5034,0,"Mother of 4, Woman's Day Magazine Live Longer & Stronger Participant, lover of running, music, miami vices and of course, JD! "
5035,0,Former TV news producer. 
5036,0,"American, Conservative, Believer, SFGiants fan, Scientist, Runner, Daughter, Sister, Pet Parent, & Patriot! "
5037,0,"Christian, Husband, Dad, Grandfather, Miss. State University Alum, Kappa Sigma Fraternity, Cubs Fan"
5038,0,what is the value of gaining the whole world with losing yourself ???
5039,0,Espiritismo  Evangelho De JESUS  Umbanda  Cincias Ocultas Profecias Astrologia Alimentao Vegetariana Chacras Imortalidade Mediunidade Transio Planetria
5040,0,"MSN, FNP specialty, 5/2015!!! Lover of animals and nature!"
5041,1,"Human | Medic 
| Developer |"
5042,0,aliping sagigilid ;-)
5043,1,"Researcher, Immunology of Infectious diseases and Cancer"
5044,0,Speaker and Technologist at heart. All views expressed are my own.
5045,0,Medico Hematlogo
5046,1,"I am a LMFT specializing in treating trauma, depression and anxiety. I use holistic interventions first. I am a Wellness Advocate for doTERRA essential oils."
5047,1,"Ortho Sports Med Surgeon specializing in shoulder, knee, elbow issues and ankle injuries - Fitting the treatment to my patient - Not the patient to my treatment"
5048,1,"Doctorate in Occupational Therapy, Owner of Quality of Life Therapeutics, Psychophysiology/Biofeedback, Stress Management Educator, crazy about technology!"
5049,0,Ambitious mind without an OFF switch. Defender of wildlife. Connoisseur of heels.
5050,1,"Mother, Daughter, Pediatric Occupational Therapist. Love helping Babies and children of all ages.
From Miami and New Jersey.
"
5051,0,"One day, you will find someone like what you have found me and by then, We will all be happy."
5052,0,                     !
5053,0,Instituto de Microbiologa Clnica y enfermedades Infecciosas. Servicio de diagnstico en Medicina Interna y laboratorio de Microbiologa. Centro de Vacunacin.
5054,0,"I am the Royal Correspondent for the Daily Mail newspaper in London. Links to online articles, photos etc here, but all views very much my own."
5055,1,Posted by Dental student ....
5056,1,"Developing Innovative Bioelectronic Therapies & Products

(Following and/or retweets do not constitute an endorsement)"
5057,0,PhD student in Economics
5058,1,Got a question about your upcoming radiology test or treatment? Visit 
5059,0,albert@buttonad8757.biz
5060,0,"I am mother, grandma, wife, minister, owner of God's Little Miracles Childcare Center and Co-Founder of By Faith Foundation, Inc. I AM CHILD OF THE GOD!"
5061,0,Hi This is Official Twitter account of Rajab Haji Abdulrahman
5062,1,"The Fungus Removal Laser treats toenail fungus quickly, safely and comfortably.  Please visit "
5063,0,Highly Caffeinated CEO of Cranbrook 
5064,1,"tattooed fibromyalgia fighter, survivor of infant botulism, and heath care slave with an affinity for gadgets, leather, cosplay and renn faires :)"
5065,0,Unique
5066,0,"Sportske igre mladih - IGRE SU ZAKON!

ivimo ivot bez droge jer droga uzima ivot!!!"
5067,0,In ALLAH I put my trust.
5068,0,Nos dedicamos a mejorar la salud de nuestra poblacin a travs de la investigacin clinica y atencin mdica
5069,0,Provides cloud-based big data analytics using AI powered solutions to help companies extract valuable insights from their data & drive growth 
5070,0,uc berkeley
5071,1,Fueling dreams of becoming a primary care physician - doc dreams
5072,0,"Digital strategy, content development, brand publishing, storytelling, WHOA! co-founder"
5073,0,"Ansa Insurance Services, Fullerton, California.
Health and life insurance for your business and personal needs. Orange County and Los Angeles County."
5074,0,"Expert marketing professional, obsessed with travel, exercise, new tech and pizza. Mom to two fantastic kids and two furballs, Tiki and Tillie."
5075,1,"Creating a new kind of nausea relief. All-natural, drug-free, made by medical professionals. Shop our EO singles collection now."
5076,1,"I am a Chiropractor and the Director of Total Health and Wellness Center in Durant, Ok. I am also an ordained minister."
5077,1,"Pharmaceutical strategic marketing, advocacy, and professional relations. "
5078,0,Location based search at the link. Add photos and notes of places and businesses.
5079,0,"Journalist. Editor @ Nature Research (tweets=imho). Science, tech, chocolate, visuals. Baby Pythonista. Founder: SeeSaw. vivienmarx@gmail.com. DM for Signal"
5080,0,"I have a brain injury from a motorcycle accident & can't remember short term gone,I love pets I have a English Bull dog Shane who is still training me."
5081,0,"Husker by birth.  Love softball, volleyball & skiing.  All kinds of music, definitely Domingo.  Laughter is the best.  Give me Husker anything!"
5082,0,"Suitable for all kinds of seafood machine,water chiller and other equipments which need automatic switching
 between redrigerating and heating."
5083,1,"WM, 6+yr Cancer Survivor, Brn/Grn, 6.0, 165#. Traveled USA, except for Alaska and Hawaii. Countries: Canada and Scotland."
5084,0,"Exercise Out Of Depression
Promoting the importance of fitness to your physical and psychological well being."
5085,1,Patient Recruitment & Retention Specialist for Clinical Trials
5086,1,CEO/COB of ALCMI. Addario Lung Cancer Medical institute Research arm of ALCF (The Addario Lung Cancer Foundation)
5087,1,"Registered  Nurse, Educator, Avon Independent Sales   Representative. Mother & grandmother."
5088,0,"YB78 | vegetarian| RxTU 3 | LawTU 59
Younow : Narnian_mint
Instagram : narnian_mint"
5089,1,North Shore-LIJ Health System Center for EMS
5090,1,blog for medical coders
5091,0,"if you can dream it,u can do it ..."
5092,1,"Belmont / Harlem Surgery Center is committed to compassionate patient care, clinical excellence & quality high tech in a personal setting. RT/Like NOT Endorsed."
5093,0,"Wife, Mother, Concerned Citizen against Industrial & Commercial businesses in Residential Areas."
5094,0,"Do what you want to do...
"
5095,0,A dark mind with a bright light shining from within 
5096,0,"         
     ...."
5097,0,I was someone's woman but he died on November 30th 2013.
5098,0,"Cosmic Explorer from India, Asia, Earth, Solar System, Orion Cygnus Arm, Milky Way, Local Group,Virgo Local Super Cluster,Universe, Multiverse"
5099,1,"Hospital RTLS, Navigation & Wayfinding Healthcare, 340B Pharmacy Services, TeleHealth, Telemedicine, Way-Finding for Hospitals, Telecom & Economics"
5100,0,Relajado! Reggae+Climbing=Mi Vida!
5101,0,"Retired teacher and active website publisher. Inez High Class of 1970, Louisa High, Class of 1969."
5102,0,"Regards
Rahul Mishra  
09342048074
"
5103,1,"MD, MSc IT"
5104,0,"Anxiety Management Consultant. Based in Sittingbourne, Kent."
5105,0,in the pursuit of perfection S.C.: 
5106,1,MD / PGY-2 OBGYN
5107,0,"Life moves pretty fast. If you Don't stop and look around once in a while, you could miss it."
5108,0,"Leading Boston Vehicle Wrap resource. Full service graphic design, large format printing, and automobile advertising agency. 3M Preferred Graphics Installer."
5109,1,"A medical device company specializes in developing fast, cost-effective, and easy-to-use assays/medical tests for flu diagnosis and drug resistance detection"
5110,1,"Professor, sports dietitian, Mom of 3 amazing children, wife to an amazing man, Christian, pianist, scientist, Crossfit enthusiast, foodie and coffee lover!"
5111,1,homoeopatic  doctor and hakeem (herbalis) D.H.M.S (karachi p.c.h.m.c.h ) B.E.M.S (f.t.j hamdard karachi pakistan) B.H.M.S (unv  pashawar K.P.K)
5112,0,"Poirot look-a-like
photographer/costumer"
5113,1,"Radiology Preparation Review provides you with tools to best prepare you for the MRI Registry Board Exam. Ex:Registry type questions, lecture videos, etc."
5114,0,"cool chick, CEO @ trouble making limited Nigeria..... Rape the ff button ......cheers...."
5115,0,Oahu Kauai Maui Hawaii 
5116,1,"A medical practitioner(Nurse),philanthropist ,counselor,educator Email: abivincent81@yahoo.com. 08039114232"
5117,0,Demi thank you for being there when no one else was.
5118,0,"CSCS,*D, public speaker, Supply Chain optimizer, Sports Fanatic, Prosk8r, skier. Chessie "
5119,0,"believer, entrepreneur and mentor"
5120,0,Father to 3 amazing adults CEO 
5121,0,frm osun state
5122,1,GP and SKC CCG Clinical lead for Child Health. Awarded the NHS Leadership Academy Award in Executive Healthcare Leadership. Views expressed here are my own!
5123,1,"Single NYC professional lifesaver and amateur poker player. Saved more lives than I have cashes. And yeah, thats a good thing"
5124,1,"Acute Care NP, Associate CNO VUMC, Associate Professor VUSN, Region 4 Director AANP, Fellow AANP, Fellow SCCM and LUCKY MOM of 4 amazing children!!!"
5125,0,"Mom, music lover, movie buff, lawyer, Jayhawk, awed by nature, love to drive cars"
5126,1,"Won't be stopped. God is on my side, anything is possible. Thriving with Metastatic Breast Cancer"
5127,0,Cool apple
5128,0,A human being
5129,1,"Surgical Oncologist. Department Skin and Soft Tissue Tumors. National Cancer Institute (Mxico). Sarcoma, Melanoma and rare tumors surgeon."
5130,0,Wild and free 
5131,0,"Helping children in Palm Beach County reach their full potential and achieve long lasting, positive life outcomes."
5132,1,"Blog on patients' experience, BC news, hospitals on HEN BACKTALK. DCIS,Osteoporosis. BA social work, writer, editor, pt/doctor communications"
5133,1,"We invent, launch, and scale healthcare companies. Like "
5134,0,Home of the 2010 Division II State Champions
5135,1,Senior Vice President for Academic Affairs at American Board of Medical Specialties (ABMS)
5136,1,"Mobiquity is a professional services firm focused on humanizing the digital experience for patients, employees and consumers across all channels."
5137,0,Powering 
5138,0,"Sleep Trainer in Washington, MO
Mattress Direct
2064 Washington Crossing
Washington MO 63090
636-432-1920"
5139,1,"Funding, awareness and research for lung cancer. I'm an advocate who lost her mother to this disease and wishes to stop history from repeating itself."
5140,1,"Margaret Greenwood-Ericksen, MD MSc | Emergency doc & researcher dedicated to rural healthcare delivery innovation | Grad "
5141,0,Helping Your Family Raise Healthy Children
5142,1,"Since 1913, Sturdy has been dedicated to caring for patients with the latest technology, sophisticated diagnostic and therapeutic services, and quality care."
5143,0,"Loves family and animals, classic rock music and new horizons. SQL DBA "
5144,0,Seeking Glory! Warrior Spirit!
5145,1,"International Psychotherapist, Coach, Medical Social Worker, Palliative Care Consultant, Author and Film Producer. Psy.D, LICSW"
5146,0,"Ik ben Bertus Blanken, de Beheerder van de website "
5147,1,Registered and certified private nursing care for your loved ones in their own home.
5148,1,"Research Dermatologist. Over 130 scientific papers, 71 published articles on phosphorylase kinase, psoriasis, wound healing, & anti-aging. Faculty at UCLA"
5149,0,"Luckiest man alive. Passionate about labs, finance, the Cleveland Browns, fitness, music, Portland, and most of all Anne."
5150,0,just me
5151,0,Gina Atienza Floresa - Junior League of Jacksonville President 20`7-2018.
5152,1,MSW - Health and Wellness advocate - Optimist - Action Sports Fanatic - Survivor
5153,0,"Marketing/PR consultant, small biz advocate, writer, cookbook author, food editor - ThirdCoastReview, entrepreneurial creator and founder - The Meatloaf Bakery."
5154,1,"Malladi Bariatrics and Advanced Surgery specializes in helping patients surgically combat obesity, chronic GERD and a variety of other conditions."
5155,0,Community Action & Prevention Education
5156,0,"Plantscaper, into environmental concerns, Psychology, Philosophy and Arts. among daily events that make one feel safe and ready to learn again."
5157,1,ED/Trauma RN. Ohio University Alum. Columbus native.  GO BUCKS
5158,0,Beautiful heart and soul 
5159,0,Public relations specialist learning to live my best life!
5160,0,                     .
5161,0,I Always Gat Swag Everyday Real Nigga With Swagggggggin_BlingBlings247
5162,0,sister/student/seamstress/lover/never a mother/always a friend
5163,0,"Community Organizer, Activist, Licensed Real Estate Broker, Lic. Process Server,Contracting Consultant"
5164,1,"Passion for vector borne diseases, public health, sustainable living, mountains, moab desert, and peppermint tea."
5165,0,A learner.
5166,1,"Emory University Resident Physician, MD, MBA - Pursue some path, however narrow and crooked, in which you can walk with love and reverence."
5167,0,Life isnt about finding yourself. Life is about creating yourself.
5168,0,Formerly 
5169,1,"Digital healthcare consultant, extreme mountain biker, Londons first-ever jogger, street farmer, addicted to capsaicinoids...one time solid-state physicist"
5170,0,"A Prolific Music Minister  
Producer/songwriter known as M2k Called Gifted and Anointed,  Born and resident in Nigeria with 2 recorded album +2348036750712"
5171,0,"Film & TV producer, Published Non-Fiction Writer, Public Speaker, Founder of BEAT DYSTONIA, Dystonia and Gay Rights Activist, TED speaker, Sarah Lawrence MFA"
5172,0,Consultant 
5173,1,"Orthopedic Surgeon. Cornell/Illinois/Iowa/Cincinnati Sportsmedicine. Interests: sportsmedicine, knee and shoulder surgery"
5174,1,"Summer read a thon for pediatric cancer.  Join the challenge.  A million books, a million dollars towards a cure."
5175,0,"Sabemos lo importante que es tu salud y tu imagen
info@jennylight.com.mx 
56 39 48 28 y 56 39 48 29"
5176,0,VP of Talent Acquisition & Executive Search at Flagship Pioneering. Creating talent management strategies in a VUCA world.
5177,0,"HIT Researcher
Opioid Crisis & Patient Safety 
Crossfit and Mountain Biking"
5178,1,Facing problem with Sleep Apnea?  Desperate to find a cure but don't know how?  Follow us and learn from our useful tips on how to overcome Sleep Apnea!
5179,0,bzzagent
5180,1,"River Oaks Billing Associates, LLC is a premier medical billing and claims processing service for medical professionals and group practices nationwide."
5181,1,Goal is to promote awareness for persons with fibromyalgia and chronic illnesses.
5182,1,"Doctors with warmth, smarts & compassion who take the time to listen | Family medicine | Osteopathic, naturopathic & RMT services | Inviting Little Italy office"
5183,0,"Philosopher, teacher, father."
5184,0,Twitter: 
5185,0,29
5186,0,"Writer @ Monitor Publications-K'LA Uganda. Born of Masaka, graduate of KIU/YMCA."
5187,0,We supply 
5188,1, is a community of volunteers who take part in medical research that could help bring new medical treatments and services to Indiana.
5189,1,"Integrative Family Practice DO, "
5190,0, at RIMA / 
5191,1,Public Health Foundation of India is working towards a healthier India.
5192,1,"Orthopedic Surgery, PA-C"
5193,1,Cs get degrees! I'm an averge pharmacy student just trying to survive. :/
5194,1,"Curious - reading - experiencing nature, exploring literature. Medicine, women's health, science, politics, sustainability, human relations & dogs."
5195,1,"We provide senior consulting & senior home care services in Lowndes, Brooks, Thomas, Colquitt, Cook, and Tift  in Georgia.  "
5196,0,Owned by Corpwell Media PBC
5197,1,"Indigo Spirit Junkie, Meditation Coach, PTSD Advocate, Reiki Practioner, Achalasian, Storyteller, Mompreneur, YL Essential Oil-Sniffing Hippie Mama #"
5198,0,"God loving Apostolic wife, mother of 3 beautiful daughters, little Sunshine grandbaby! 2 of the best S in L!! I like DYI proj, crafts, thrift stores and more..."
5199,0,Trying to make a change in the way we live and the way we die 
5200,0,Hacer el Bien sin Mirar a Quien
5201,1,"RN Dedicated to providing information to live life healthier. Beliver, wife, and mother."
5202,1,Cardiology. Medicine. American football. Socialism. But mainly memes.
5203,0,I'm a legal professional with over 10 years experience in European and Middle Eastern affairs and a passionate digital and social media evangelist.
5204,0,Host of Saturday Mornings with Joy Keys. 
5205,1,"I'm a nurse, a lover, a first responder and a well intentioned individual.  Acceptance,  humility and understanding."
5206,0,"Trust gets you killed,
Love gets you hurt,
and being real gets you hated"
5207,0,a PASSIONATE ADVOCATE for LIVING LIFE & NEVER Compromises What I Feel & KNOW to be RIGHT for PolitenessSake. ANYTHING else = SUICIDE 
5208,1,Registered dietitian who loves to bake and try new restaurants all over the U.S. Love traveling and spending time with friends/family.
5209,1,"News from BCBSA, the national federation of 36 independent, community-based BCBS companies that provide healthcare coverage for more than 105 million people."
5210,1,"Owner of Distant Daughter, which provides product reviews and resources for remote caregiving."
5211,1,Gynecologic Oncologist at MD Anderson Cancer Center. Wife of 
5212,0,Avid observer and commentator on all things worth and not worth observing and commentating on...
5213,0,Sociedad Espaola de Beneficencia fundada en 1869. En 1908 abre la casa de Salud. Mas de 146 aos de historia. Organizacin sin fines de lucro (NPO).
5214,0,limbi straine antice
5215,1,"Minimally Invasive Urology & General Urology (Urologic Oncology, Men's Health and Kidney Stones). Running, biking, hiking, kayaking and eating out! Navy Seabee."
5216,0,Bronx born; New Yorker in Boston since 99
5217,0,"I'm a photographer, wine drinker, and weather nerd/NWS elite spotter. PERSONAL ACCOUNT."
5218,1,High School Science Instructor / Certified Health Coach - Integrative Nutrition.
5219,0,Green Point of View is an e-commerce website that aims to educate its users on ethical consumerism while providing sustainable alternatives to everyday products
5220,1,Professor of Transplant Surgery ; Chairman Transplant Division ; University Hospital & Medical School ./ First President Spanish Liver Transplantation Society
5221,0,Claudia Guadalupe Garcia-Osuna Kumeyaay Native American-Hispanic Heritage Kumeyaay
5222,1,Training Director Health Net
5223,1,Sarcoma medical oncologist at the Duke Cancer Institute.
5224,0,  | Pop-punk & Alternative rock enthusiast  | Hopeless optimist | Amateur writer | Self-love advocate | libra / capricorn | INFJ | NYI
5225,0,ZMT
5226,1,DON at Clemenceau Medical Center - Affiliated with Johns Hopkins International - JCIA Accredited Organization
5227,1,Sarcoma doc 
5228,1,"Junior Doctor. Passionate about equity, sustainability, global health & disease prevention. Yogi, feminist, foodie & arts admirer. "
5229,0,Los sueos nunca desaparecen siempre que las personas no los abandonan. XD
5230,0,Texas Wife Carrying
5231,1,"Director, Rutgers Cancer Institute of New Jersey"
5232,1,"The 1st easy to use, in home screening device for sleep apnea. FDA cleared as a prescription device in the US. Available in Canada "
5233,0,"De todo un poco: mdico, salubrista, gua turstico, consejera, conserje, blogger frustrada, chofer y fletera. Se hace lo que se puede. "
5234,0,Mom first then comes everything else!
5235,0,Noted humorist.
5236,0,Out of suffering have emerged the strongest souls; the most massive characters are seared with scars.
5237,1,"MPH, Child Injury Prevention Coordinator at Dell Children's Med Ctr, Child Passenger Safety Tech Instructor, National Child Passenger Safety Board Member, Aggie"
5238,0,being lerner all time one of  less hard-working guy my self living dream in australia.. love Australian and love world love # humanity #gym# love# being honest#
5239,0,GS Resident.
5240,0,"Nutrition Forest offers variety of ayurvedic natural organic herbs, vitamins, herbal extracts with 100% natural ingredients."
5241,0,government accounting; sounds boring but I love it! (US Navy veteran)
5242,0,Delighted to serve you our Authentic Gourmet Wrapped with our Traditional Hospitality. We import our spices exclusivly from Lebanon to serve the original taste!
5243,1,Board-certified Neurosurgeon
5244,0,"foodie,traveller,dreamer,designer,marathoner,writer,no regrets,live every moment as if it's ur last,shape shifter,blessing in disguise"
5245,0,Believe in 'Knowledge is in air spread it far'.. Three year old weekly free digital magazine with 
5246,0,La passion des corps masculins athltique ! The passion of athletic male body ! La pasin del cuerpo masculino atltico !
5247,1,Director of Nursing Simulation
5248,0,Geneticsy | Adventure seeker
5249,1,"Join us from August 29 - September 1, 2014 in Boston, Massachusetts, USA to discuss the future of excellence in Pediatric Burn Care."
5250,1,The UC Merced chapter of the oldest and largest national premedical association of physicians-in-training. 
5251,1,Dietetics/Nutrition major at ASU. On the path to becoming a physician assistant.
5252,0,"Reach me direct 917-447-7210 Fort Lee, NJ 2014615000 "
5253,1,"Interests in Innovative technologies in healthcare, Ashtanga Yoga, Travel, keeping sane on minimal sleep"
5254,1,"Professor of Medical Oncology, University of Palermo, Italy - Director of Medical Oncology Unit, AOUP P. Giaccone Palermo - Scientific Director of "
5255,1,Irelands National Centre for Dermatology Research and Training. Our researchers look to discover new treatments and therapies for patients with skin diseases.
5256,1, offers a wide range of contact lenses and accessories at great prices.
5257,1,"Circle Care helps people connect with Quality Cosmetic Plastic Surgery Providers in an easy and reliable way.
An Elite Cosmetic Plastic Surgery Network"
5258,1,The NREF supports research and education efforts that enhance and confirm the critical role neurosurgeons play in improving lives.
5259,0,"Independent thinking southerner with interests in many subjects, people and places! All views are my own..."
5260,1,"Registered Nurse. Passionate about my family, Neuroscience, pharmacology, MS research, current book I am reading, Soundgarden, Foo Fighters"
5261,1,Pediatric anesthesiologist; Medical Director Pediatric Pain Rehabilitation Center (PPRC) Program; interested in pain management data visualization; Acupuncture
5262,0,"A women of mystery n power, whose power is exceeded only by her mystery. Living vicariously through myself."
5263,0,"Carol Zutler was born in Union City NJ, Carol Zutler is a mother of 3 grown children and a wife to Daniel P Zutler for 30 years."
5264,0,", tu dosis diaria de consejos saludables para el bienestar de vos y tu familia."
5265,0,Fun. Fat. Fabulous. Getting in shape. Losing weight. Loving life. Blogger.
5266,0,Medicine x Research | sapere aude
5267,0,Medicina-UCA
5268,0,AF Brat-Navy Vet-Ret. Corrections-1WestPac- 
5269,1,The official Twitter for NutriBullet University - A hands-on education & healthy eating experience for students. 
5270,0, |  
5271,1,Finished MBBS  from yenepoya medical college. Mangalore. Working as a chief medical officer at Udma speciality nursing home ..
5272,0,LMSW / 
5273,1,Understanding the brain by providing the details of the big picture: Super-resolution neuro-imaging.
5274,1,Rockland Hospitals is an integrated Healthcare provider with a network of 3 Multi-Super Specialty Hospitals (808 beds) located in Delhi NCR (India).
5275,1,GV Health develop & manufacture: environmental 
5276,0,Community Manager 
5277,0,"Writer, Photographer and Cyber Security Enthusiast"
5278,0,I aim to make the world a better place for humanity and me. peace always
5279,0,am good at Wat am doing nd are enjoy doing it...
5280,0,"Any state, any entity, any ideology that fails to recognize the worth, the dignity, the rights of man, that state is obsolete - Rod Serling"
5281,0,"Creative Strategic Executive. Designer, Blogger, Mother and Christian."
5282,0,my tweets are my Bio
5283,1,"My int'l. blog shares my journey with mom who has Alzheimer's. ""My Mom My Hero"" book available on Amazon. My new book ""Letter To My Mom"" available on Amazon"
5284,1,"MCN Learning is comprised of compliance and regulatory experts, education and clinical professionals with decades of experience."
5285,1,"Affordable, effective pain relief and maintenance care."
5286,1,. CNMS-RN
5287,0,"Hola, I am here to have fun looking at famous people, my friends, and family."
5288,0,"Former Pastor at Living Truth Center in East Cleveland, OH. Is now a Staff Minister at Christ Universal Temple where the Rev. Dr. Derrick B Wells is the Pastor."
5289,1,We mobilize doctors & medical students to be leaders in putting 
5290,0,Lifestyles and entertainment from The Herald and 
5291,1,"I'm a palliative care advocate, writer, and podcast host giving a much needed voice to palliative care specialists and patients."
5292,1,"CPC, CPMA, Healthcare, Compliance, health and wellness RYT 200"
5293,1,*California Girl *Kidney Transplant (x2) & Kidney Cancer Survivor *Dialysis Life *Kidney Warrior *Blogging about living with FSGS an invisible kidney disease *
5294,0,To tweet or not to tweet
5295,0,"from Louisiana, living abroad... really into life, concerts, podcasts, music "
5296,0,cities policy markets finance sports fitness travel
5297,0,"This is Andy from CN GENOUR POWER S.A.(TAIZHOU MINGPAI TRADE CO.,LTD). DEAL IN: Gasoline Generator  Generator(1-2-6kw) AND SPARE PARTS whatsapp:8613616688891."
5298,0,Nutricionista-Dietista //Diplomado en Soporte Nutricional Enteral y Parenteral
5299,0,Associate at Crowell & Moring LLP. DOJ Tax Division alum. Views my own.
5300,1,Writing all kinds of thoughts about having metastatic breast cancer in the modern world.
5301,1,"Pharmacist/Chemist, MLS, Politician, Road safety ambassador, philanthropist."
5302,1,"Following Science and Providing New Natural Solutions to Health, Wellness, and Slowing the Aging Process!  Recruiting & mentoring goal oriented entrepreneurs."
5303,1,"The Wisconsin Womens Health Foundation helps Wisconsin women and their families reach their healthiest potential. 
Because it all begins with a healthy woman."
5304,0,male
5305,0,Broker/Sales for Ozarks Home Realty
5306,0,"I love life. I love my family, the military, and the body I was blessed with to push to the limit every second."
5307,0,"Mom of a Beautiful daughter, my Rock, fighting "
5308,1,Med Student
5309,1,ReShape Lifesciences Inc. (NASDAQ:RSLS) is a developer of minimally invasive medical devices to treat obesity and metabolic diseases.
5310,0,Sr. Recruiter
5311,1,The Society for Mucosal Immunology (SMI) promotes excellence in research and education in mucosal immunology and fosters communication among immunologists
5312,1,"An integrated, professional approach to health. Nourish United States seeks to transform the health and wellness landscapes through yoga, nutrition, and massage"
5313,0,"History repeats itself. Most of the time it is the same old stuff, just a different day. We add some commentary and press criticism of journaltainment."
5314,0,Being persistent is the best way of living in life:)
5315,0,I Am.
5316,0,A forward thinking Special Needs Mom who works as a SM Director for a Nat'l Country Music Radio Show. Starting a 
5317,0,"Francine Vale: Author: Song of the Heart - Walking the Path of Light, Angel Healer, Talk Radio Host, visionary."
5318,1,"wife, dog owner, omnivore dietitian, agvocate, public speaker, writer, founder of "
5319,0,"To live is the rarest thing in the world. Most people exist, that is all. 
-Oscar Wilde"
